12:51:02|User said (private|domador_1):	alguna mujer
12:51:16|Prelude responded to (pm | domador_1):	Votre m re doit tre une personne charmante.    votre m re
12:51:16|User said (private|domador_1):	arecha
12:51:25|Prelude responded to (pm | domador_1):	I always say, share and share alike.
12:51:25|User said (private|domador_1):	pa q le de algo de mi especie
12:51:35|Prelude responded to (pm | domador_1):	Si tu esposa te abandono, si que tienes un problema.
12:55:39|User said (private|domador_1):	como
12:55:48|Prelude responded to (pm | domador_1):	Tell me more about your mother.
13:00:47|User said (private|boy_lp):	quiero sexo en la paz
13:00:59|Prelude responded to (pm | boy_lp):	Esas son formulas de escuela, yo no soy cientifico.
13:02:12|User said (private|boy_lp):	jejejje
13:02:22|Prelude responded to (pm | boy_lp):	Hej hej i stugan ;-)
13:02:22|User said (private|boy_lp):	hola
13:02:36|Prelude responded to (pm | boy_lp):	Howdy!
13:02:36|User said (private|boy_lp):	que haces
13:02:46|Prelude responded to (pm | boy_lp):	How long have you been wearing them? braces
13:05:46|User said (private|boy_lp):	que
13:06:00|Prelude responded to (pm | boy_lp):	Who is requesting
13:06:36|User said (private|boy_lp):	quiero sexo en la paz
13:06:47|Prelude responded to (pm | boy_lp):	Esas son formulas de escuela, yo no soy cientifico.
13:08:01|User said (private|boy_lp):	me la chupas
13:08:12|Prelude responded to (pm | boy_lp):	Who was that?
13:08:47|User said (private|boy_lp):	si me la chupas
13:08:55|Prelude responded to (pm | boy_lp):	No, i won't
13:08:55|User said (private|boy_lp):	el pene
13:09:05|Prelude responded to (pm | boy_lp):	Men like to talk about that.
13:11:03|User said (private|boy_lp):	yo lo hago rico
13:11:12|Prelude responded to (pm | boy_lp):	What is not to like about    richard   ?
13:12:33|User said (private|boy_lp):	la tengo de 18 cm
13:12:44|Prelude responded to (pm | boy_lp):	Que es bueno, para el dolor de cabeza?
13:12:44|User said (private|boy_lp):	gruesa
13:12:56|Prelude responded to (pm | boy_lp):	But if it's false, then how would you know
13:14:14|User said (private|sergio_25):	holaa d dond soj
13:14:22|Prelude responded to (pm | sergio_25):	. awesome
13:14:48|User said (private|boy_lp):	el sexo es bueno
13:14:57|Prelude responded to (pm | boy_lp):	no fastidies Nick_2 vaya y atienda a su esposa
13:17:04|User said (private|boy_lp):	no tengo esposa
13:17:17|Prelude responded to (pm | boy_lp):	Ya estamos entrando en calor.
13:17:17|User said (private|boy_lp):	pero la tengo dura si te interesa
13:17:27|Prelude responded to (pm | boy_lp):	Some of them are pretty interesting.
13:18:44|User said (private|boy_lp):	te gusta por el culo
13:18:59|Prelude responded to (pm | boy_lp):	El culo no me pica.
13:20:26|User said (private|jerichodaniel):	hola
13:20:35|Prelude responded to (pm | jerichodaniel):	Ahora, cabron
13:20:35|User said (private|jerichodaniel):	d q ciudad ers
13:20:50|Prelude responded to (pm | jerichodaniel):	Nova scotia and vancouver.
13:20:50|User said (private|boy_lp):	quiero sexo en la paz
