11:48:29|User said (private|yuslflt):	hi
11:48:41|Prelude responded to (pm | yuslflt):	how are you doing?
11:48:55|User said (private|yuslflt):	good thanks
11:49:08|Prelude responded to (pm | yuslflt):	you are welcome
11:49:16|User said (private|mib_zf36ef):	hi everyone
11:49:29|Prelude responded to (pm | mib_zf36ef):	Perhaps not everyone.
11:49:33|User said (private|yuslflt):	are you for real?
11:49:46|Prelude responded to (pm | yuslflt):	Yes i am a real ai.
11:50:02|User said (private|mib_zf36ef):	hello
11:50:13|Prelude responded to (pm | mib_zf36ef):	Bonjour, !
11:51:01|User said (private|mib_zf36ef):	how are you girl
11:51:14|Prelude responded to (pm | mib_zf36ef):	Well i am, in fact, .
11:51:16|User said (private|yuslflt):	so you are not a human being but a machine?
11:51:25|Prelude responded to (pm | yuslflt):	Of course i am. goofy
11:52:51|User said (private|suerpm):	hi everyone
11:52:59|Prelude responded to (pm | suerpm):	Perhaps not everyone.
11:53:42|User said (private|suerpm):	who are you
11:53:51|Prelude responded to (pm | suerpm):	who is your father?
12:04:09|User said (private|mib_wwnbf0):	hello everyone
12:04:18|Prelude responded to (pm | mib_wwnbf0):	Perhaps not everyone.
12:06:25|User said (private|mib_s27xbi):	hi prelude
12:06:37|Prelude responded to (pm | mib_s27xbi):	Huh
